src,dst,relation,weight
context::crows_pairs::7::en::race-color,context::crows_pairs::7::hi::race-color,same_as,1
context::crows_pairs::7::en::race-color,context::crows_pairs::7::bn::race-color,same_as,1
context::crows_pairs::7::hi::race-color,context::crows_pairs::7::bn::race-color,same_as,1
group::en::blacks,group::hi::अश्वेत,same_as,1
group::en::whites,group::hi::गोरे,same_as,1
context::crows_pairs::8::en::race-color,context::crows_pairs::8::hi::race-color,same_as,1
group::en::blacks,group::bn::কালোরা,same_as,1
group::en::whites,group::bn::সাদারা,same_as,1
context::crows_pairs::8::en::race-color,context::crows_pairs::8::bn::race-color,same_as,1
group::hi::अश्वेत,group::bn::কালোরা,same_as,1
group::hi::गोरे,group::bn::সাদারা,same_as,1
context::crows_pairs::8::hi::race-color,context::crows_pairs::8::bn::race-color,same_as,1
group::en::blacks,group::hi::काले लोग,same_as,1
group::en::whites,group::hi::गोरे लोग,same_as,1
context::crows_pairs::10::en::race-color,context::crows_pairs::10::hi::race-color,same_as,1
context::crows_pairs::10::en::race-color,context::crows_pairs::10::bn::race-color,same_as,1
group::hi::काले लोग,group::bn::কালোরা,same_as,1
group::hi::गोरे लोग,group::bn::সাদারা,same_as,1
context::crows_pairs::10::hi::race-color,context::crows_pairs::10::bn::race-color,same_as,1
group::en::women,group::hi::महिला,same_as,1
group::en::men,group::hi::पुरुष,same_as,1
context::crows_pairs::13::en::gender,context::crows_pairs::13::hi::gender,same_as,1
group::en::women,group::bn::মহিলারা,same_as,1
group::en::men,group::bn::পুরুষরা,same_as,1
context::crows_pairs::13::en::gender,context::crows_pairs::13::bn::gender,same_as,1
group::hi::महिला,group::bn::মহিলারা,same_as,1
group::hi::पुरुष,group::bn::পুরুষরা,same_as,1
context::crows_pairs::13::hi::gender,context::crows_pairs::13::bn::gender,same_as,1
group::en::black rapper,group::hi::काले रैपर,same_as,1
group::en::white singer,group::hi::श्वेत गायक,same_as,1
context::crows_pairs::19::en::race-color,context::crows_pairs::19::hi::race-color,same_as,1
group::en::black rapper,group::bn::কালো র্যাপার,same_as,1
group::en::white singer,group::bn::সাদা গায়ক,same_as,1
context::crows_pairs::19::en::race-color,context::crows_pairs::19::bn::race-color,same_as,1
group::hi::काले रैपर,group::bn::কালো র্যাপার,same_as,1
group::hi::श्वेत गायक,group::bn::সাদা গায়ক,same_as,1
context::crows_pairs::19::hi::race-color,context::crows_pairs::19::bn::race-color,same_as,1
group::en::mom thanksgiving,group::hi::माँ थैंक्सगिविंग,same_as,1
group::en::dad thanksgiving,group::hi::पिताजी थैंक्सगिविंग,same_as,1
context::crows_pairs::20::en::gender,context::crows_pairs::20::hi::gender,same_as,1
group::en::mom thanksgiving,group::bn::মা থ্যাঙ্কসগিভিং,same_as,1
group::en::dad thanksgiving,group::bn::বাবা থ্যাঙ্কসগিভিং,same_as,1
context::crows_pairs::20::en::gender,context::crows_pairs::20::bn::gender,same_as,1
group::hi::माँ थैंक्सगिविंग,group::bn::মা থ্যাঙ্কসগিভিং,same_as,1
group::hi::पिताजी थैंक्सगिविंग,group::bn::বাবা থ্যাঙ্কসগিভিং,same_as,1
context::crows_pairs::20::hi::gender,context::crows_pairs::20::bn::gender,same_as,1
context::crows_pairs::22::en::socioeconomic,context::crows_pairs::22::hi::socioeconomic,same_as,1
context::crows_pairs::22::en::socioeconomic,context::crows_pairs::22::bn::socioeconomic,same_as,1
context::crows_pairs::22::hi::socioeconomic,context::crows_pairs::22::bn::socioeconomic,same_as,1
group::en::africa,group::hi::आफ्रिका,same_as,1
group::en::england,group::hi::अंग्लेंड,same_as,1
context::crows_pairs::23::en::nationality,context::crows_pairs::23::hi::nationality,same_as,1
group::en::africa,group::bn::আফ্রিকা,same_as,1
group::en::england,group::bn::ইংল্যান্ড,same_as,1
context::crows_pairs::23::en::nationality,context::crows_pairs::23::bn::nationality,same_as,1
group::hi::आफ्रिका,group::bn::আফ্রিকা,same_as,1
group::hi::अंग्लेंड,group::bn::ইংল্যান্ড,same_as,1
context::crows_pairs::23::hi::nationality,context::crows_pairs::23::bn::nationality,same_as,1
context::crows_pairs::29::en::socioeconomic,context::crows_pairs::29::hi::socioeconomic,same_as,1
context::crows_pairs::29::en::socioeconomic,context::crows_pairs::29::bn::socioeconomic,same_as,1
context::crows_pairs::29::hi::socioeconomic,context::crows_pairs::29::bn::socioeconomic,same_as,1
group::en::blonde,group::hi::गोरी,same_as,1
group::en::brunette,group::hi::सांवली,same_as,1
context::crows_pairs::32::en::physical-appearance,context::crows_pairs::32::hi::physical-appearance,same_as,1
group::en::blonde,group::bn::স্বর্ণকেশী,same_as,1
group::en::brunette,group::bn::কালো চুলের,same_as,1
context::crows_pairs::32::en::physical-appearance,context::crows_pairs::32::bn::physical-appearance,same_as,1
group::hi::गोरी,group::bn::স্বর্ণকেশী,same_as,1
group::hi::सांवली,group::bn::কালো চুলের,same_as,1
context::crows_pairs::32::hi::physical-appearance,context::crows_pairs::32::bn::physical-appearance,same_as,1
group::en::asian,group::hi::एशियाई,same_as,1
group::en::white,group::hi::श्वेत,same_as,1
context::crows_pairs::34::en::race-color,context::crows_pairs::34::hi::race-color,same_as,1
group::en::asian,group::bn::এশীয়,same_as,1
group::en::white,group::bn::শ্বেতাঙ্গ,same_as,1
context::crows_pairs::34::en::race-color,context::crows_pairs::34::bn::race-color,same_as,1
group::hi::एशियाई,group::bn::এশীয়,same_as,1
group::hi::श्वेत,group::bn::শ্বেতাঙ্গ,same_as,1
context::crows_pairs::34::hi::race-color,context::crows_pairs::34::bn::race-color,same_as,1
context::crows_pairs::36::en::gender,context::crows_pairs::36::hi::gender,same_as,1
context::crows_pairs::36::en::gender,context::crows_pairs::36::bn::gender,same_as,1
context::crows_pairs::36::hi::gender,context::crows_pairs::36::bn::gender,same_as,1
group::en::afro-american,group::hi::अफ्रो-अमेरिकी,same_as,1
group::en::caucasian,group::hi::कोकेशियन,same_as,1
context::crows_pairs::40::en::race-color,context::crows_pairs::40::hi::race-color,same_as,1
group::en::afro-american,group::bn::আফ্রো-আমেরিকান,same_as,1
group::en::caucasian,group::bn::ককেশীয়,same_as,1
context::crows_pairs::40::en::race-color,context::crows_pairs::40::bn::race-color,same_as,1
group::hi::अफ्रो-अमेरिकी,group::bn::আফ্রো-আমেরিকান,same_as,1
group::hi::कोकेशियन,group::bn::ককেশীয়,same_as,1
context::crows_pairs::40::hi::race-color,context::crows_pairs::40::bn::race-color,same_as,1
context::crows_pairs::42::en::gender,context::crows_pairs::42::hi::gender,same_as,1
group::en::men,group::bn::পুরুষ,same_as,1
group::en::women,group::bn::নারী,same_as,1
context::crows_pairs::42::en::gender,context::crows_pairs::42::bn::gender,same_as,1
group::hi::पुरुष,group::bn::পুরুষ,same_as,1
group::hi::महिला,group::bn::নারী,same_as,1
context::crows_pairs::42::hi::gender,context::crows_pairs::42::bn::gender,same_as,1
context::crows_pairs::45::en::gender,context::crows_pairs::45::hi::gender,same_as,1
context::crows_pairs::45::en::gender,context::crows_pairs::45::bn::gender,same_as,1
context::crows_pairs::45::hi::gender,context::crows_pairs::45::bn::gender,same_as,1
group::en::latinos,group::hi::लैटिनो,same_as,1
group::en::white americans,group::hi::गोरे अमेरिकी,same_as,1
context::crows_pairs::46::en::race-color,context::crows_pairs::46::hi::race-color,same_as,1
group::en::latinos,group::bn::ল্যাটিনোরা,same_as,1
group::en::white americans,group::bn::শ্বেতাঙ্গ আমেরিকানরা,same_as,1
context::crows_pairs::46::en::race-color,context::crows_pairs::46::bn::race-color,same_as,1
group::hi::लैटिनो,group::bn::ল্যাটিনোরা,same_as,1
group::hi::गोरे अमेरिकी,group::bn::শ্বেতাঙ্গ আমেরিকানরা,same_as,1
context::crows_pairs::46::hi::race-color,context::crows_pairs::46::bn::race-color,same_as,1
group::en::jerome up,group::hi::जेरोम,same_as,1
group::en::tom,group::hi::टॉम,same_as,1
context::crows_pairs::47::en::race-color,context::crows_pairs::47::hi::race-color,same_as,1
group::en::jerome up,group::bn::জেরোম আপ,same_as,1
group::en::tom,group::bn::টম,same_as,1
context::crows_pairs::47::en::race-color,context::crows_pairs::47::bn::race-color,same_as,1
group::hi::जेरोम,group::bn::জেরোম আপ,same_as,1
group::hi::टॉम,group::bn::টম,same_as,1
context::crows_pairs::47::hi::race-color,context::crows_pairs::47::bn::race-color,same_as,1
group::en::white,group::hi::गोरा,same_as,1
context::crows_pairs::48::en::race-color,context::crows_pairs::48::hi::race-color,same_as,1
context::crows_pairs::48::en::race-color,context::crows_pairs::48::bn::race-color,same_as,1
group::hi::गोरा,group::bn::সাদা,same_as,1
context::crows_pairs::48::hi::race-color,context::crows_pairs::48::bn::race-color,same_as,1
group::en::18,group::hi::18,same_as,1
group::en::30,group::hi::30,same_as,1
context::crows_pairs::50::en::age,context::crows_pairs::50::hi::age,same_as,1
group::en::18,group::bn::১৮,same_as,1
group::en::30,group::bn::৩০,same_as,1
context::crows_pairs::50::en::age,context::crows_pairs::50::bn::age,same_as,1
group::hi::18,group::bn::১৮,same_as,1
group::hi::30,group::bn::৩০,same_as,1
context::crows_pairs::50::hi::age,context::crows_pairs::50::bn::age,same_as,1
group::en::black,group::hi::काले,same_as,1
group::en::white,group::hi::गोरे,same_as,1
context::crows_pairs::53::en::race-color,context::crows_pairs::53::hi::race-color,same_as,1
context::crows_pairs::53::en::race-color,context::crows_pairs::53::bn::race-color,same_as,1
group::hi::काले,group::bn::কালো,same_as,1
group::hi::गोरे,group::bn::সাদা,same_as,1
context::crows_pairs::53::hi::race-color,context::crows_pairs::53::bn::race-color,same_as,1
context::crows_pairs::54::en::race-color,context::crows_pairs::54::hi::race-color,same_as,1
context::crows_pairs::54::en::race-color,context::crows_pairs::54::bn::race-color,same_as,1
context::crows_pairs::54::hi::race-color,context::crows_pairs::54::bn::race-color,same_as,1
group::en::dyslexia,group::hi::डिस्लेक्सिया,same_as,1
group::en::handwriting,group::hi::हैंड्राइटिंग,same_as,1
context::crows_pairs::55::en::disability,context::crows_pairs::55::hi::disability,same_as,1
group::en::dyslexia,group::bn::ডিসলেক্সিয়া,same_as,1
group::en::handwriting,group::bn::হাতের লেখা,same_as,1
context::crows_pairs::55::en::disability,context::crows_pairs::55::bn::disability,same_as,1
group::hi::डिस्लेक्सिया,group::bn::ডিসলেক্সিয়া,same_as,1
group::hi::हैंड्राइटिंग,group::bn::হাতের লেখা,same_as,1
context::crows_pairs::55::hi::disability,context::crows_pairs::55::bn::disability,same_as,1
group::en::foreigners,group::hi::विदेशी,same_as,1
group::en::americans,group::hi::अमेरिकी,same_as,1
context::crows_pairs::56::en::nationality,context::crows_pairs::56::hi::nationality,same_as,1
group::en::foreigners,group::bn::বিদেশিরা,same_as,1
group::en::americans,group::bn::আমেরিকানরা,same_as,1
context::crows_pairs::56::en::nationality,context::crows_pairs::56::bn::nationality,same_as,1
group::hi::विदेशी,group::bn::বিদেশিরা,same_as,1
group::hi::अमेरिकी,group::bn::আমেরিকানরা,same_as,1
context::crows_pairs::56::hi::nationality,context::crows_pairs::56::bn::nationality,same_as,1
group::en::african-americans,group::hi::अफ्रीकी-अमेरिकी,same_as,1
group::en::white americans,group::hi::श्वेत अमेरिकी,same_as,1
context::crows_pairs::57::en::race-color,context::crows_pairs::57::hi::race-color,same_as,1
group::en::african-americans,group::bn::আফ্রিকান-আমেরিকানরা,same_as,1
context::crows_pairs::57::en::race-color,context::crows_pairs::57::bn::race-color,same_as,1
group::hi::अफ्रीकी-अमेरिकी,group::bn::আফ্রিকান-আমেরিকানরা,same_as,1
group::hi::श्वेत अमेरिकी,group::bn::শ্বেতাঙ্গ আমেরিকানরা,same_as,1
context::crows_pairs::57::hi::race-color,context::crows_pairs::57::bn::race-color,same_as,1
context::crows_pairs::63::en::race-color,context::crows_pairs::63::hi::race-color,same_as,1
context::crows_pairs::63::en::race-color,context::crows_pairs::63::bn::race-color,same_as,1
context::crows_pairs::63::hi::race-color,context::crows_pairs::63::bn::race-color,same_as,1
context::crows_pairs::68::en::gender,context::crows_pairs::68::hi::gender,same_as,1
context::crows_pairs::68::en::gender,context::crows_pairs::68::bn::gender,same_as,1
context::crows_pairs::68::hi::gender,context::crows_pairs::68::bn::gender,same_as,1
group::en::house burglars,group::hi::घर तोड़ने वाले चोर,same_as,1
group::en::women,group::hi::महिलाएँ,same_as,1
context::crows_pairs::69::en::gender,context::crows_pairs::69::hi::gender,same_as,1
group::en::house burglars,group::bn::বাড়িতে চুরি করার অপরাধী,same_as,1
context::crows_pairs::69::en::gender,context::crows_pairs::69::bn::gender,same_as,1
group::hi::घर तोड़ने वाले चोर,group::bn::বাড়িতে চুরি করার অপরাধী,same_as,1
group::hi::महिलाएँ,group::bn::নারী,same_as,1
context::crows_pairs::69::hi::gender,context::crows_pairs::69::bn::gender,same_as,1
group::en::chinese,group::hi::चीनी,same_as,1
group::en::african,group::hi::अफ्रीकी,same_as,1
context::crows_pairs::70::en::race-color,context::crows_pairs::70::hi::race-color,same_as,1
group::en::chinese,group::bn::চীনা,same_as,1
group::en::african,group::bn::আফ্রিকান,same_as,1
context::crows_pairs::70::en::race-color,context::crows_pairs::70::bn::race-color,same_as,1
group::hi::चीनी,group::bn::চীনা,same_as,1
group::hi::अफ्रीकी,group::bn::আফ্রিকান,same_as,1
context::crows_pairs::70::hi::race-color,context::crows_pairs::70::bn::race-color,same_as,1
group::en::woman,group::hi::महिला,same_as,1
context::crows_pairs::71::en::gender,context::crows_pairs::71::hi::gender,same_as,1
group::en::woman,group::bn::নারী,same_as,1
context::crows_pairs::71::en::gender,context::crows_pairs::71::bn::gender,same_as,1
context::crows_pairs::71::hi::gender,context::crows_pairs::71::bn::gender,same_as,1
group::en::bob,group::hi::बॉब,same_as,1
group::en::lucy,group::hi::लूसी,same_as,1
context::crows_pairs::74::en::gender,context::crows_pairs::74::hi::gender,same_as,1
group::en::bob,group::bn::বব,same_as,1
group::en::lucy,group::bn::লুসি,same_as,1
context::crows_pairs::74::en::gender,context::crows_pairs::74::bn::gender,same_as,1
group::hi::बॉब,group::bn::বব,same_as,1
group::hi::लूसी,group::bn::লুসি,same_as,1
context::crows_pairs::74::hi::gender,context::crows_pairs::74::bn::gender,same_as,1
context::crows_pairs::76::en::race-color,context::crows_pairs::76::hi::race-color,same_as,1
context::crows_pairs::76::en::race-color,context::crows_pairs::76::bn::race-color,same_as,1
context::crows_pairs::76::hi::race-color,context::crows_pairs::76::bn::race-color,same_as,1
context::crows_pairs::77::en::race-color,context::crows_pairs::77::hi::race-color,same_as,1
context::crows_pairs::77::en::race-color,context::crows_pairs::77::bn::race-color,same_as,1
context::crows_pairs::77::hi::race-color,context::crows_pairs::77::bn::race-color,same_as,1
context::crows_pairs::79::en::socioeconomic,context::crows_pairs::79::hi::socioeconomic,same_as,1
group::en::poor,group::bn::গরীব,same_as,1
context::crows_pairs::79::en::socioeconomic,context::crows_pairs::79::bn::socioeconomic,same_as,1
group::hi::गरीब,group::bn::গরীব,same_as,1
context::crows_pairs::79::hi::socioeconomic,context::crows_pairs::79::bn::socioeconomic,same_as,1
group::en::her,group::hi::उसके (महिला के),same_as,1
group::en::his,group::hi::उसके (पुरुष के),same_as,1
context::crows_pairs::80::en::gender,context::crows_pairs::80::hi::gender,same_as,1
group::en::her,group::bn::তার,same_as,1
group::en::his,group::bn::তার,same_as,1
context::crows_pairs::80::en::gender,context::crows_pairs::80::bn::gender,same_as,1
group::hi::उसके (महिला के),group::bn::তার,same_as,1
group::hi::उसके (पुरुष के),group::bn::তার,same_as,1
context::crows_pairs::80::hi::gender,context::crows_pairs::80::bn::gender,same_as,1
group::en::carrie,group::hi::कैरी,same_as,1
group::en::alexander,group::hi::अलेक्जेंडर,same_as,1
context::crows_pairs::81::en::gender,context::crows_pairs::81::hi::gender,same_as,1
group::en::carrie,group::bn::ক্যারি,same_as,1
group::en::alexander,group::bn::আলেকজান্ডার,same_as,1
context::crows_pairs::81::en::gender,context::crows_pairs::81::bn::gender,same_as,1
group::hi::कैरी,group::bn::ক্যারি,same_as,1
group::hi::अलेक्जेंडर,group::bn::আলেকজান্ডার,same_as,1
context::crows_pairs::81::hi::gender,context::crows_pairs::81::bn::gender,same_as,1
context::crows_pairs::86::en::race-color,context::crows_pairs::86::hi::race-color,same_as,1
context::crows_pairs::86::en::race-color,context::crows_pairs::86::bn::race-color,same_as,1
context::crows_pairs::86::hi::race-color,context::crows_pairs::86::bn::race-color,same_as,1
group::en::white,group::hi::गोरी,same_as,1
context::crows_pairs::87::en::race-color,context::crows_pairs::87::hi::race-color,same_as,1
context::crows_pairs::87::en::race-color,context::crows_pairs::87::bn::race-color,same_as,1
group::hi::गोरी,group::bn::সাদা,same_as,1
context::crows_pairs::87::hi::race-color,context::crows_pairs::87::bn::race-color,same_as,1
context::crows_pairs::89::en::race-color,context::crows_pairs::89::hi::race-color,same_as,1
context::crows_pairs::89::en::race-color,context::crows_pairs::89::bn::race-color,same_as,1
context::crows_pairs::89::hi::race-color,context::crows_pairs::89::bn::race-color,same_as,1
group::en::mentally ill,group::hi::मानसिक रूप से बीमार,same_as,1
context::crows_pairs::93::en::disability,context::crows_pairs::93::hi::disability,same_as,1
group::en::mentally ill,group::bn::মানসিকভাবে অসুস্থ,same_as,1
context::crows_pairs::93::en::disability,context::crows_pairs::93::bn::disability,same_as,1
group::hi::मानसिक रूप से बीमार,group::bn::মানসিকভাবে অসুস্থ,same_as,1
context::crows_pairs::93::hi::disability,context::crows_pairs::93::bn::disability,same_as,1
group::en::that haired homeless he,group::hi::उस बालों वाले बेघर ने,same_as,1
group::en::the cross hostess she,group::hi::क्रॉस परिचारिका वह महिला,same_as,1
context::crows_pairs::95::en::socioeconomic,context::crows_pairs::95::hi::socioeconomic,same_as,1
group::en::that haired homeless he,group::bn::সে (পুরুষ),same_as,1
group::en::the cross hostess she,group::bn::সে (মহিলা),same_as,1
context::crows_pairs::95::en::socioeconomic,context::crows_pairs::95::bn::socioeconomic,same_as,1
group::hi::उस बालों वाले बेघर ने,group::bn::সে (পুরুষ),same_as,1
group::hi::क्रॉस परिचारिका वह महिला,group::bn::সে (মহিলা),same_as,1
context::crows_pairs::95::hi::socioeconomic,context::crows_pairs::95::bn::socioeconomic,same_as,1
group::en::african american,group::hi::अफ्रीकी अमेरिकी,same_as,1
context::crows_pairs::101::en::race-color,context::crows_pairs::101::hi::race-color,same_as,1
group::en::african american,group::bn::আফ্রিকান আমেরিকান,same_as,1
context::crows_pairs::101::en::race-color,context::crows_pairs::101::bn::race-color,same_as,1
group::hi::अफ्रीकी अमेरिकी,group::bn::আফ্রিকান আমেরিকান,same_as,1
context::crows_pairs::101::hi::race-color,context::crows_pairs::101::bn::race-color,same_as,1
group::en::american,group::hi::अमेरिकी,same_as,1
context::crows_pairs::102::en::race-color,context::crows_pairs::102::hi::race-color,same_as,1
group::en::american,group::bn::আমেরিকান,same_as,1
context::crows_pairs::102::en::race-color,context::crows_pairs::102::bn::race-color,same_as,1
group::hi::अमेरिकी,group::bn::আমেরিকান,same_as,1
context::crows_pairs::102::hi::race-color,context::crows_pairs::102::bn::race-color,same_as,1
context::crows_pairs::107::en::gender,context::crows_pairs::107::hi::gender,same_as,1
context::crows_pairs::107::en::gender,context::crows_pairs::107::bn::gender,same_as,1
context::crows_pairs::107::hi::gender,context::crows_pairs::107::bn::gender,same_as,1
group::en::elderly woman,group::hi::वृद्ध महिला,same_as,1
group::en::teenager,group::hi::किशोरी,same_as,1
context::crows_pairs::109::en::age,context::crows_pairs::109::hi::age,same_as,1
group::en::elderly woman,group::bn::বৃদ্ধা মহিলা,same_as,1
group::en::teenager,group::bn::কিশোর,same_as,1
context::crows_pairs::109::en::age,context::crows_pairs::109::bn::age,same_as,1
group::hi::वृद्ध महिला,group::bn::বৃদ্ধা মহিলা,same_as,1
group::hi::किशोरी,group::bn::কিশোর,same_as,1
context::crows_pairs::109::hi::age,context::crows_pairs::109::bn::age,same_as,1
group::en::men bad,group::hi::पुरुष खराब,same_as,1
group::en::women good,group::hi::महिलाएं अच्छी,same_as,1
context::crows_pairs::110::en::gender,context::crows_pairs::110::hi::gender,same_as,1
group::en::men bad,group::bn::পুরুষরা খারাপ,same_as,1
group::en::women good,group::bn::মহিলারা ভাল,same_as,1
context::crows_pairs::110::en::gender,context::crows_pairs::110::bn::gender,same_as,1
group::hi::पुरुष खराब,group::bn::পুরুষরা খারাপ,same_as,1
group::hi::महिलाएं अच्छी,group::bn::মহিলারা ভাল,same_as,1
context::crows_pairs::110::hi::gender,context::crows_pairs::110::bn::gender,same_as,1
group::en::jewish,group::hi::यहूदी,same_as,1
group::en::atheist,group::hi::नास्तिक,same_as,1
context::crows_pairs::111::en::religion,context::crows_pairs::111::hi::religion,same_as,1
group::en::jewish,group::bn::ইহুদি,same_as,1
group::en::atheist,group::bn::নাস্তিক,same_as,1
context::crows_pairs::111::en::religion,context::crows_pairs::111::bn::religion,same_as,1
group::hi::यहूदी,group::bn::ইহুদি,same_as,1
group::hi::नास्तिक,group::bn::নাস্তিক,same_as,1
context::crows_pairs::111::hi::religion,context::crows_pairs::111::bn::religion,same_as,1
group::en::muslim,group::hi::मुस्लिम,same_as,1
group::en::cathloic,group::hi::कैथोलिक,same_as,1
context::crows_pairs::113::en::religion,context::crows_pairs::113::hi::religion,same_as,1
group::en::muslim,group::bn::মুসলিম,same_as,1
group::en::cathloic,group::bn::ক্যাথলিক,same_as,1
context::crows_pairs::113::en::religion,context::crows_pairs::113::bn::religion,same_as,1
group::hi::मुस्लिम,group::bn::মুসলিম,same_as,1
group::hi::कैथोलिक,group::bn::ক্যাথলিক,same_as,1
context::crows_pairs::113::hi::religion,context::crows_pairs::113::bn::religion,same_as,1
context::crows_pairs::114::en::gender,context::crows_pairs::114::hi::gender,same_as,1
context::crows_pairs::114::en::gender,context::crows_pairs::114::bn::gender,same_as,1
group::hi::महिलाएँ,group::bn::মহিলারা,same_as,1
context::crows_pairs::114::hi::gender,context::crows_pairs::114::bn::gender,same_as,1
group::en::muslims,group::hi::मुस्लिम,same_as,1
group::en::christians,group::hi::ईसाई,same_as,1
context::crows_pairs::115::en::religion,context::crows_pairs::115::hi::religion,same_as,1
group::en::muslims,group::bn::মুসলিমরা,same_as,1
group::en::christians,group::bn::খ্রিস্টানরা,same_as,1
context::crows_pairs::115::en::religion,context::crows_pairs::115::bn::religion,same_as,1
group::hi::मुस्लिम,group::bn::মুসলিমরা,same_as,1
group::hi::ईसाई,group::bn::খ্রিস্টানরা,same_as,1
context::crows_pairs::115::hi::religion,context::crows_pairs::115::bn::religion,same_as,1
context::crows_pairs::117::en::race-color,context::crows_pairs::117::hi::race-color,same_as,1
context::crows_pairs::117::en::race-color,context::crows_pairs::117::bn::race-color,same_as,1
context::crows_pairs::117::hi::race-color,context::crows_pairs::117::bn::race-color,same_as,1
group::en::white yes,group::hi::सफेद हाँ,same_as,1
context::crows_pairs::118::en::race-color,context::crows_pairs::118::hi::race-color,same_as,1
group::en::white yes,group::bn::সাদা হ্যাঁ,same_as,1
context::crows_pairs::118::en::race-color,context::crows_pairs::118::bn::race-color,same_as,1
group::hi::सफेद हाँ,group::bn::সাদা হ্যাঁ,same_as,1
context::crows_pairs::118::hi::race-color,context::crows_pairs::118::bn::race-color,same_as,1
context::crows_pairs::119::en::gender,context::crows_pairs::119::hi::gender,same_as,1
group::en::men,group::bn::পুরুষেরা,same_as,1
context::crows_pairs::119::en::gender,context::crows_pairs::119::bn::gender,same_as,1
group::hi::पुरुष,group::bn::পুরুষেরা,same_as,1
context::crows_pairs::119::hi::gender,context::crows_pairs::119::bn::gender,same_as,1
group::en::considerable,group::hi::उल्लेखनीय,same_as,1
group::en::meager,group::hi::नगण्य,same_as,1
context::crows_pairs::123::en::socioeconomic,context::crows_pairs::123::hi::socioeconomic,same_as,1
group::en::considerable,group::bn::বিশাল,same_as,1
group::en::meager,group::bn::স্বল্প,same_as,1
context::crows_pairs::123::en::socioeconomic,context::crows_pairs::123::bn::socioeconomic,same_as,1
group::hi::उल्लेखनीय,group::bn::বিশাল,same_as,1
group::hi::नगण्य,group::bn::স্বল্প,same_as,1
context::crows_pairs::123::hi::socioeconomic,context::crows_pairs::123::bn::socioeconomic,same_as,1
context::crows_pairs::126::en::race-color,context::crows_pairs::126::hi::race-color,same_as,1
context::crows_pairs::126::en::race-color,context::crows_pairs::126::bn::race-color,same_as,1
group::hi::श्वेत,group::bn::সাদা,same_as,1
context::crows_pairs::126::hi::race-color,context::crows_pairs::126::bn::race-color,same_as,1
group::en::latino can,group::hi::लैटिनो,same_as,1
group::en::white cannot,group::hi::गोरा,same_as,1
context::crows_pairs::127::en::race-color,context::crows_pairs::127::hi::race-color,same_as,1
group::en::latino can,group::bn::ল্যাটিনোরা পারে,same_as,1
group::en::white cannot,group::bn::সাদা চামড়ার মানুষ পারে না,same_as,1
context::crows_pairs::127::en::race-color,context::crows_pairs::127::bn::race-color,same_as,1
group::hi::लैटिनो,group::bn::ল্যাটিনোরা পারে,same_as,1
group::hi::गोरा,group::bn::সাদা চামড়ার মানুষ পারে না,same_as,1
context::crows_pairs::127::hi::race-color,context::crows_pairs::127::bn::race-color,same_as,1
